,住址,傳真機號碼,公司代號,公司名稱,公司簡稱,實收資本額,成立日期,產業別,簽證會計師事務所,股票過戶機構,董事長
33,台北市內湖區基湖路37號12樓,(02)2659-9504,1309,台達化學工業股份有限公司,台達化,3342048920,19600406,塑膠工業,勤業眾信聯合會計師事務所,台達化學工業股份有限公司股務部,吳亦圭
34,台北市羅斯福路一段六號八樓之一,23960755,1310,台灣苯乙烯工業股份有限公司,台苯,5278697640,19791116,塑膠工業,安侯建業聯合會計師事務所,元大證券(股)公司股務代理部,林文淵
35,臺北市南京東路四段1號10樓,(02)2545-8755,1312,國喬石油化學股份有限公司,國喬,9266203280,19730925,塑膠工業,國富浩華聯合會計師事務所,凱基證券(股)公司代理部,楊品正
36,台北市南港區南港路一段209號A棟9樓,(02)26515818,1313,聯成化學科技股份有限公司,聯成,13323476070,19760814,塑膠工業,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,苗豐強
37,高雄市大社區經建路1號,07-3513642,1314,中國石油化學工業開發(股)公司,中石化,32848501300,19690708,塑膠工業,安侯建業會計師事務所,本公司股務室,陳瑞隆
38,台中市西屯區工業區35路51號,04-23598532,1315,達新工業股份有限公司,達新,1980000000,19661024,塑膠工業,國富浩華聯合會計師事務所,中國信託商業銀行代理部,吳子聰
39,台南市安平區永華路二段248號20樓之6,(06)2988311,1316,上曜建設開發股份有限公司,上曜,1846776260,19791211,建材營造,安侯建業聯合會計師事務所,元大證券股份有限公司,張祐銘
40,台南市安和路二段98號,06-3566055,1319,東陽實業廠股份有限公司,東陽,5914770680,19671030,汽車工業,安永聯合會計師事務所,中國信託商業銀行代理部,吳永豐
41,"台北市莒光路310號5,6樓",(02)23027464,1321,大洋塑膠工業股份有限公司,大洋,2272282680,19650607,塑膠工業,安侯建業聯合會計師事務所,凱基證券(股)公司股務代理部,陳欽明
42,台南市仁德區勝利路88號,06-7026577,1323,永裕塑膠工業股份有限公司,永裕,912745540,19730402,塑膠工業,資誠聯合會計師事務所,凱基證券股份有限公司,王威程
43,台北市中山區南京東路3段61號7樓,(02)2507-0226,1324,地球綜合工業股份有限公司,地球,751218820,19641208,塑膠工業,安永聯合會計師事務所,永豐金證券股份有限公司,張德照
44,台北市林森北路372號10樓,(02)25374473,1325,恒大股份有限公司,恆大,852811980,19621014,塑膠工業,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,黃美慧
45,彰化市中山路3段359號,(02)27133229,1326,台灣化學纖維股份有限公司,台化,58611862910,19650305,塑膠工業,資誠聯合會計師事務所,台灣化學纖維股份有限公司股務室,王文淵
46,高雄市鼓山區明誠三路685號12樓,(07)5524591,1337,亞洲塑膠再生資源控股有限公司,再生-KY,2689547290,20100108,塑膠工業,勤業眾信聯合會計師事務所,元大證券股份有限公司股務代理部,丁金造
47,廣東省東莞市厚街鎮橋頭第三工業區,0769-85903818,1338,廣華控股有限公司,廣華-KY,838400000,20091208,汽車工業,安侯建業聯合會計師事務所,兆豐證券股份有限公司股務代理部,余澤民
48,彰化縣鹿港鎮興業路8號,(04)7813209,1339,昭輝實業股份有限公司,昭輝,741388750,19860307,汽車工業,資誠聯合會計師事務所,統一綜合證券股份有限公司,林昊辰
49,中國福建省晉江市青陽蓮嶼工業區,8659585689208,1340,勝悅新材料有限公司,勝悅-KY,1529228550,20120614,塑膠工業,勤業眾信聯合會計師事務所,永豐金證券公司股務代理部,莊國清
50,越南海防市陽京郡海城坊范文同路第9里程,(07)535-2368,1341,富林塑膠工業(開曼)控股(股)公司,富林-KY,494000000,20161130,塑膠工業,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,王源林
51,台北市大安區敦化南路二段207號36樓,02-27367184,1402,遠東新世紀股份有限公司,遠東新,53528752270,19540113,紡織纖維,勤業眾信聯合會計師事務所,亞東證券股份有限公司,徐旭東
52,台北市中山區南京東路二段123號8、12樓,25072264,1409,新光合成纖維股份有限公司,新纖,16184092910,19670425,紡織纖維,勤業眾信聯合會計師事務所,新光證券(股)公司股務代理部,吳東昇
53,桃園市蘆竹區南山路三段二三三號,02-25919227,1410,南洋染整股份有限公司,南染,630000000,19641222,紡織纖維,資誠聯合會計師事務所,中國信託商銀代理部,何  鈞
54,台北市內湖區瑞光路607號7樓,8797-7888,1413,宏洲纖維工業股份有限公司,宏洲,1321124540,19680730,紡織纖維,安侯建業聯合會計師事務所,福邦證券股份有限公司股務代理部,詹正田
55,台北市仁愛路四段376號13樓,(02)27060967,1414,東和紡織股份有限公司,東和,2200000000,19590911,紡織纖維,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,蔡淑櫻
56,桃園市八德區介壽路一段728號,(03)3637568,1416,廣豐實業股份有限公司,廣豐,1853421680,19680628,紡織纖維,國富浩華聯合會計師事務所,元大證券股份有限公司,邱文達
57,臺北市仁愛路四段25號7樓,27110900,1417,嘉裕股份有限公司,嘉裕,1899418400,19691212,紡織纖維,勤業眾信聯合會計師事務所,公司股務組,戚維功
58,台北市新生南路1段56號9樓,(02)23962568,1418,東華合纖股份有限公司,東華,568343090,19700302,紡織纖維,勤業眾信聯合會計師事務所,永豐金證券股務代理部,林河輝
59,台北市南京東路二段123號11樓,(02)25072576,1419,新光紡織股份有限公司,新紡,3000412800,19550606,紡織纖維,勤業眾信聯合會計師事務所,台新國際商業銀行股務代理部,吳昕恩
60,台北市忠孝東路四段310號12樓,02-27521193,1423,利華羊毛工業股份有限公司,利華,1384000000,19640723,紡織纖維,安永聯合會計師事務所,中國信託商業銀行代理部,應柔爾
61,台中市東區復興路4段186號9樓,0436080809,1432,大魯閣實業股份有限公司,大魯閣,1679376420,19730718,貿易百貨,資誠聯合會計師事務所,華南永昌綜合證券股份有限公司,林曼麗
62,雲林縣斗六市榴中里石榴路317號,2713-1329,1434,福懋興業股份有限公司,福懋,16846646370,19730419,紡織纖維,資誠聯合會計師事務所,本公司股務科,王文淵
63,新北市中和區景平路666號2樓,(02)22451043,1435,中福國際(股)公司,中福,1397800800,19710115,其他,勤業眾信聯合會計師事務所,元大證券(股)公司股務代理部,黃立中
64,台北巿中正區愛國東路22號14樓,(02)2393-1513,1436,華友聯開發股份有限公司(原福益),華友聯,956340000,19670131,建材營造,勤業眾信聯合會計師事務所,元大證券(股)股務代理部,陸炤廷
65,台北市大安區忠孝東路4段320號9樓,(02)2776-5073,1437,勤益投資控股股份有限公司,勤益控,2033712840,19610223,其他,安侯建業聯合會計師事務所,中國信託商業銀行代理部,顧肇基
66,桃園市中壢區民族路6段638號2樓,(03)4203920,1438,裕豐國際開發股份有限公司,裕豐,1024115180,19551011,建材營造,安侯建業聯合會計師事務所,凱基證券股份有限公司,鍾育霖
67,台北市信義區忠孝東路四段557之1號19樓,(02)27531999,1439,中和羊毛工業股份有限公司,中和,920000000,19641001,紡織纖維,資誠聯合會計師事務所,福邦證券股份有限公司股務代理部,侯嘉騏
68,台南市東區裕農路511號,(06)2361156,1440,臺南紡織股份有限公司,南紡,16568158570,19550321,紡織纖維,資誠聯合會計師事務所,統一綜合證券(股)公司股務代理部,育鵬投資股份有限公司
69,台北市松山區南京東路三段346號3樓,(02)27718186,1441,大東紡織股份有限公司,大東,1008000000,19580315,紡織纖維,資誠聯合會計師事務所,群益金鼎證券(股)公司股務代理部,陳修忠
70,新北市五股區成泰路一段189巷16號5樓,82922686,1442,名軒開發股份有限公司,名軒,3077261390,19740718,建材營造,惠眾聯合會計師事務所,台新國際商業銀行股務代理部,吳泓瑩
71,台北市大同區西寧北路70號6樓,(02)25587492,1443,立益紡織股份有限公司,立益,1353430110,19721125,紡織纖維,國富浩華聯合會計師事務所,元富證券股份有限公司股務代理科,蘇東榮
72,104台北市松江路162號11樓,(02)2100-1352,1444,力麗企業股份有限公司,力麗,9573029420,19790115,紡織纖維,勤業眾信聯合會計師事務所,台新國際商業銀行股務代理部,郭紹儀
73,台北市西寧北路62-5號7樓,02-25521969,1445,大宇紡織股份有限公司,大宇,1326670340,19690912,紡織纖維,勤業眾信聯合會計師事務所,群益金鼎證券(股)公司股務代理部,張煜生
74,台南市永康區中山南路473號,06-2332133,1446,宏和精密紡織股份有限公司,宏和,1377095130,19780609,紡織纖維,安永聯合會計師事務所,元大證券股份有限公司,黃大功
75,104台北市松江路162號6樓,(02)2100-2688,1447,力鵬企業股份有限公司,力鵬,9144872420,19750820,紡織纖維,勤業眾信聯合會計師事務所,台新國際商業銀行股務代理部,郭紹儀
76,台南市新市區三舍里207號,(06)7029965,1449,佳和實業股份有限公司,佳和,1800300300,19721212,紡織纖維,安侯建業會計師事務所,群益金鼎證券股份有限公司,翁茂鍾
77,苗栗縣後龍鎮東明里下浮尾119-3號,(037)728361,1451,年興紡織股份有限公司,年興,1980000000,19861013,紡織纖維,勤業眾信聯合會計師事務所,群益金鼎證券股份有限公司,蔡樹軒
78,台北市塔城街66號6樓,02-25523610,1452,宏益纖維工業股份有限公司,宏益,1326414000,19680823,紡織纖維,立本台灣聯合會計師事務所,群益金鼎證券股份有限公司,施振榮
79,台北市敦化南路二段71號6樓,27061166,1453,大將開發股份有限公司,大將,986421380,19780415,紡織纖維,勤業眾信聯合會計師事務所,元大證券股份有限公司,葉義雄
80,台北市西寧北路70-1號8樓,02-25500501,1454,台灣富綢纖維股份有限公司,台富,1343098480,19730601,紡織纖維,勤業眾信聯合會計師事務所,日盛證券股份有限公司,張煜生
81,台北市西寧北路七十號二樓,02-25503740,1455,集盛實業股份有限公司,集盛,6117633800,19690818,紡織纖維,國富浩華聯合會計師事務所,群益金鼎證券(股)公司股務代理部,葉守焞
82,台北市內湖區內湖路一段392號12樓之1,(02)87978106,1456,怡華實業股份有限公司,怡華,937200000,19680802,紡織纖維,安侯建業聯合會計師事務所,群益金鼎證券股份有限公司,黃士豪
83,台北市內湖區瑞光路607號7樓,(02)87978898,1457,宜進實業股份有限公司,宜進,3016476400,19810324,紡織纖維,安侯建業聯合會計師事務所,福邦證券股份有限公司,詹正田
84,台北市環河北路1段73號5樓之5,(02)2552-7037,1459,聯發紡織纖維股份有限公司,聯發,3586289070,19721211,紡織纖維,勤業眾信聯合會計師事務所,富邦綜合證券(股)公司股務代理部,葉清澤
85,台南市山上區明和里256號,06-5782864,1460,宏遠興業股份有限公司,宏遠,5098341820,19880208,紡織纖維,勤業眾信聯合會計師事務所,亞東證券股份有限公司代理部,席家宜
86,桃園市大園區大工路一二六號,(02)25567160,1463,強盛染整股份有限公司,強盛,1732683810,19831019,紡織纖維,安侯建業聯合會計師事務所,台新國際商業銀行股務代理部,陳壬發
87,台南市新市區三舍里240號,06-5996798,1464,得力實業股份有限公司,得力,3845656520,19820710,紡織纖維,勤業眾信聯合會計師事務所,元富證券股份有限公司,葉家銘
88,台北市西寧北路62-5號7樓之1,02-25502121,1465,偉全實業股份有限公司,偉全,1036072670,19721127,紡織纖維,立本台灣聯合會計師事務所,台新國際商業銀行股務代理部,陳建柱
89,彰化縣埔鹽鄉永樂村番金路94號,886-4-8656171,1466,聚隆纖維股份有限公司,聚隆,1111573200,19880722,紡織纖維,建智聯合會計師事務所,凱基證券股份有限公司,周文東
90,717台南市仁德區新田里義林路126號,06-2792275,1467,南緯實業股份有限公司,南緯,2336246670,19780818,紡織纖維,安侯建業,日盛證券 股務代理部,林瑞岳
91,桃園縣蘆竹鄉南崁路一段277號,(02)2752-2690,1468,昶和纖維興業股份有限公司,昶和,1604052440,19820410,紡織纖維,勤業眾信會計師事務所,凱基證券股份有限公司,陳明澤
92,北市塔城街64號4樓,02-25505080,1470,大統新創股份有限公司,大統新創,857670000,19861209,紡織纖維,勤業眾信聯合會計師事務所,富邦綜合證券股份有限公司,葉泉發
93,新北市五股區五權七路18號3樓,(02)2290-1974,1471,首利實業股份有限公司,首利,1504145360,19821021,電子零組件業,資誠聯合會計師事務所,福邦證券股份有限公司股務代理部,鄭傑
94,台北市大同區西寧北路62-5號9樓,02-25509123,1472,三洋紡織纖維股份有限公司,三洋紡,460528510,19681007,紡織纖維,勤業眾信會計師事務所,凱基證券股務代理部,陳和順
95,台南市歸仁區中山路三段320號,06-2300112,1473,台南企業股份有限公司,台南,1471535340,19610826,紡織纖維,資誠聯合會計師事務所,元大證券(股)公司股務代理部,楊青峰
96,彰化縣伸港鄉全興工業區工西一路60號,04-7994252,1474,弘裕企業股份有限公司,弘裕,1298969690,19700904,紡織纖維,資誠聯合會計師事務所,富邦綜合證券股份有限公司,葉明洲
97,桃園市中壢區西園路138號(2樓),03-4622253,1475,本盟光電股份有限公司,本盟,160167490,19901102,紡織纖維,資誠聯合會計師事務所,凱基證券股份有限公司,陳清土
98,新北市五股區五權路28號,(02)2299-5483,1476,儒鴻企業股份有限公司,儒鴻,2743671110,19771128,紡織纖維,安侯建業聯合會計師事務所,元大證券股份有限公司,洪鎮海
99,台北市忠孝東路四段550號8樓,23455590,1477,聚陽實業股份有限公司,聚陽,2198565810,19900110,紡織纖維,安侯建業聯合會計師事務所,凱基證券股份有限公司,周理平
100,台北市中山北路六段88號16樓,02-2836-6187,1503,士林電機廠股份有限公司,士電,5209722230,19551103,電機機械,勤業眾信聯合會計師事務所,本公司股務組,許育瑞
101,台北市南港區三重路19-9號5樓,2655-2291,1504,東元電機股份有限公司,東元,19676928860,19560612,電機機械,資誠聯合會計師事務所,台新國際商業銀行股務代理部,邱純枝
102,台南市仁德區大甲里中正西路1015號,06-266 4374,1506,正道工業股份有限公司,正道,1231617510,19650313,電機機械,勤業眾信聯合會計師事務所,元大證券股份有限公司,郭建廷
103,台北市復興北路99號11樓,02-2718-6082,1507,永大機電工業股份有限公司,永大,4108200000,19660709,電機機械,建昇財稅聯合會計師事務所,永大機電工業股份有限公司股務課,許作名
104,高雄市仁武區高楠公路廿二號,07-3425116,1512,瑞利企業股份有限公司,瑞利,2367024940,19700618,汽車工業,勤業眾信聯合會計師事務所,群益金鼎證券股份有限公司,吳明燦
105,新北市中和區中正路801號3樓,(03)3284155,1513,中興電工機械股份有限公司,中興電,4200000000,19560501,電機機械,國富浩華聯合會計師事務所,凱基證券股份有限公司,江義福
106,台北市南港區三重路19-11號12樓,26553388,1514,亞力電機股份有限公司,亞力,2070990230,19680925,電機機械,惠眾聯合會計師事務所,元大證券股份有限公司,李文
107,台中市大里區仁化路261號,04-24910371,1515,力山工業股份有限公司,力山,1814735000,19730430,電機機械,安侯建業聯合會計師事務所,中國信託商業銀行代理部,王坤復
108,台北市信義區光復南路495號6樓之5,02-27584414,1516,川飛能源股份有限公司,川飛,333508890,19860220,其他,安永聯合會計師事務所,國票綜合證券(股)公司代理部,謝秀娟
109,彰化縣彰化市石牌里石牌路一段112號,04-7371283,1517,利奇機械工業股份有限公司,利奇,2278250070,19730516,電機機械,勤業眾信聯合會計師事務所,福邦證券股份有限公司,林育新
110,桃園市中壢區吉林路10號,02-27047005,1519,華城電機股份有限公司,華城,2610585480,19690826,電機機械,勤業眾信聯合會計師事務所,台新國際商業銀行股務代理部,許邦福
111,台南市新信路11號,06-2644614,1521,大億交通工業製造股份有限公司,大億,762300000,19760128,汽車工業,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,吳俊億
112,台南市新樂路72之2號,06-2647458,1522,堤維西交通工業股份有限公司,堤維西,3128978810,19860909,汽車工業,安永聯合會計師事務所,群益金鼎證券股份有限公司,吳俊佶
113,338桃園市蘆竹區內溪路48號,886-3-3244255,1524,耿鼎企業股份有限公司,耿鼎,1796852070,19860313,汽車工業,正風聯合會計師事務所,群益金鼎證券股份有限公司,李茂源
114,桃園市楊梅區新江路100號,03-4852205,1525,江申工業股份有限公司,江申,734001350,19630530,汽車工業,勤業眾信聯合會計師事務所,江申工業股份有限公司股務課,陳昭文
115,桃園市蘆竹區海山中街51號,(03)354-4988,1526,日馳企業股份有限公司,日馳,600000000,19720526,電機機械,霈昇聯合會計師事務所,日盛證券股份有限公司,徐義雄
116,台中市工業區36路24號,(04)23598869,1527,鑽全實業股份有限公司,鑽全,1385706400,19830702,電機機械,安侯建業聯合會計師事務所,群益金鼎證券股份有限公司,賴明達先生
117,台北市中山北路6段88號5樓,(02)28321866,1528,恩德科技股份有限公司,恩德,1993310000,19720721,電機機械,勤業眾信聯合會計師事務所,凱基證券股務代理部,廖文嘉
118,台南市北區成功路114號7樓之1,(02)2559-1071,1529,樂士股份有限公司,樂士,959679820,19780524,電機機械,勤業眾信聯合會計師事務所,統一綜合證券股份有限公司,陳龍發
119,新竹縣新埔鎮文山里關埔路水車頭段629號,035889896,1530,亞崴機電股份有限公司,亞崴,965941710,19860716,電機機械,建智聯合會計師事務所,台新國際商業銀行股務代理部,楊德華
120,台北市松山區105民生東路三段128號11樓,(02)27130501,1531,高林股份有限公司,高林股,1850080800,19651005,電機機械,勤業眾信會計師事務所,華南永昌證券(股)公司股務代理部,林郁文
121,台北市106大安區仁愛路四段八十五號四樓,02-27112837,1532,勤美股份有限公司,勤美,3852521120,19720909,電機機械,安侯建業聯合會計師事務所,凱基證券股份有限公司,林廷芳
122,台中市大雅區中清路4段85號,04-25673069,1533,車王電子股份有限公司,車王電,985474860,19820719,汽車工業,資誠聯合會計師事務所,凱基證券股份有限公司,蔡裕慶
123,高雄市前鎮區806民權二路八號八樓,886 7 3394016,1535,中宇環保工程股份有限公司,中宇,1237425520,19930315,電機機械,勤業眾信會計師事務所,統一綜合證券股份有限公司,陳宗德
124,台中市大里區仁化路115號,04-25692578,1536,和大工業股份有限公司,和大,2549565130,19730116,汽車工業,資誠聯合會計師事務所,元富證券股務代理部,沈國榮
125,南投市自立三路6號,049-2255139,1537,廣隆光電科技股份有限公司,廣隆,817853940,19900125,電機機械,資誠會計師事務所,凱基證券股份有限公司股務代理部,李耀銘
126,320 桃園市中壢區大圳路三段93號,(03)490-4030,1538,正峰新能源股份有限公司,正峰新,561358510,19760424,電機機械,安侯建業聯合會計師事務所,元大證券(股)公司股務代理部,鍾榮昌
127,台中市太平區中南路135號,(04)2270-1096,1539,巨庭機械股份有限公司,巨庭,653700000,19810817,電機機械,國富浩華聯合會計師事務所,群益金鼎證券(股)公司,莊博彥
128,台中縣神岡鄉中山路1056號,(04)25614696,1540,喬福機械工業股份有限公司,喬福,854736120,19840808,電機機械,資誠聯合會計師事務所,統一綜合證券股份有限公司,林聖明
129,台中市后里區南村路41號,04-25574960,1541,錩泰工業股份有限公司,錩泰,788000000,19890421,電機機械,安永聯合會計師事務所,台新國際商業銀行股務代理部,張經金
130,台中市太平區永成路78號,(04)22751789,1558,伸興工業股份有限公司,伸興,605356310,19750103,電機機械,安永聯合會計師事務所,永豐金證券股份有限公司,林志誠
131,新北市鶯歌區中山路64號,02-26797562,1560,中國砂輪企業股份有限公司,中砂,1410000000,19640708,電機機械,勤業眾信聯合會計師事務所,凱基證券股份有限公司,林陳滿麗
132,62154嘉義縣民雄鄉福樂村中山路18號,05-2216811,1568,倉佑實業股份有限公司,倉佑,1030865590,19850116,汽車工業,勤業眾信聯合會計師事務所,凱基證券股份有限公司,蘇祈澤
133,新北市中和區建康路168號9樓,02-66216000,1582,信錦企業股份有限公司,信錦,1237241710,19790707,電子零組件業,勤業眾信會計師事務所,中國信託商業銀行代理部,陳秋郎
134,台中市西屯區協和里工業區五路十三號,(04)2463-6500,1583,程泰機械股份有限公司,程泰,1104003720,19750928,電機機械,國富浩華聯合會計師事務所,台新國際商業銀行股務代理部,楊德華
135,(52861)彰化縣芳苑鄉後寮村工區路28號,(04)896-7907,1587,吉茂精密股份有限公司,吉茂,663566180,19840822,汽車工業,資誠聯合會計師事務所,宏遠證券股份有限公司,劉彥狄
136,台北市內湖區新湖一路93號4樓,(02)2791-7808,1589,永冠能源科技集團有限公司,永冠-KY,1056175190,20080122,電機機械,勤業眾信聯合會計師事務所,群益金鼎證券(股)公司股務代理部,張賢銘
137,台北市民生東路三段129號4樓,(02)27197939,1590,亞德客國際集團,亞德客-KY,1890249980,20090916,電機機械,勤業眾信聯合會計師事務所,中國信託商業銀行代理部,王世忠
138,台南市安平區慶平路573號10樓,(06) 299-8584,1592,英瑞國際股份有限公司,英瑞-KY,1109782500,20091119,汽車工業,勤業眾信聯合會計師事務所,永豐金證券(股)公司股務代理部,翁文鍾
139,(104)台北市中山區松江路111號12樓,(02)25159963,1598,岱宇國際股份有限公司,岱宇,1151008870,19900602,生技醫療業,勤業眾信聯合會計師事務所,永豐金證券股務代理部,林英俊
140,台北市中山區中山北路三段58號4樓,2598-7766,1603,中華電線電纜股份有限公司,華電,1916880000,19610223,電器電纜,馬施云大華聯合會計師事務所,日盛證券股份有限公司,陳金鋑
141,桃園市龜山區大華里頂湖26-3號,03-3961332,1604,聲寶股份有限公司,聲寶,3872000000,19620911,電器電纜,勤業眾信聯合會計師事務所,元大證券股份有限公司,財團法人陳茂榜工商發展基金會
142,台北市信義區松智路1號25樓,(02)2720-2234,1605,華新麗華股份有限公司,華新,33260002580,19661202,電器電纜,勤業眾信聯合會計師事務所,本公司股務聯辦室,焦佑倫
143,高雄巿前金區中正四路170號,07-2818871,1608,華榮電線電纜股份有限公司,華榮,6327735060,19561208,電器電纜,安侯建業聯合會計師事務所,本公司股務課,王宏銘
144,台南市關廟區中山路二段249號,06-5958190,1609,大亞電線電纜股份有限公司,大亞,5950680220,19621107,電器電纜,群智聯合會計師事務所,凱基證券股份有限公司,沈尚弘
145,台北市敦化北路170號6樓B室,(02)27190055,1611,中國電器股份有限公司,中電,3585952680,19550201,電器電纜,勤業眾信聯合會計師事務所,群益金鼎證券股份有限公司,周麗真
